2.400000000000000061e-05,0.000000000000000000e+00,0.000000000000000000e+00,4.754999999999999678e-03
4.986410000000000009e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.985680000000000112e-01
1.103347999999999995e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.999959999999999960e-01
1.708347999999999978e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
2.313347999999999960e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
2.918347999999999942e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
3.518348000000000031e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
4.118348000000000120e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
4.718347999999999764e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
5.323348000000000191e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
5.923347999999999836e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
6.528348000000000262e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
7.128347999999999907e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
7.728348000000000440e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
8.328348000000000084e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
8.928347999999999729e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01
9.536376000000000630e+00,2.642600000000000157e-02,2.241940000000000044e-01,5.000000000000000000e-01
1.012614800000000059e+01,1.463639999999999941e-01,6.651400000000000368e-02,5.000000000000000000e-01
1.073479900000000065e+01,1.869079999999999908e-01,6.651400000000000368e-02,5.000000000000000000e-01
1.134345000000000070e+01,2.274509999999999865e-01,6.651400000000000368e-02,5.000000000000000000e-01
1.194711200000000062e+01,2.676620000000000110e-01,6.651400000000000368e-02,5.000000000000000000e-01
1.254578599999999966e+01,3.075410000000000088e-01,6.651400000000000368e-02,5.000000000000000000e-01
1.314944799999999958e+01,3.477520000000000056e-01,6.651400000000000368e-02,5.000000000000000000e-01
1.376308799999999977e+01,3.886279999999999735e-01,6.651400000000000368e-02,5.000000000000000000e-01
1.436176099999999956e+01,4.285059999999999980e-01,6.651400000000000368e-02,5.000000000000000000e-01
1.497041199999999961e+01,4.690500000000000225e-01,6.651400000000000368e-02,5.000000000000000000e-01
1.556908600000000042e+01,5.089280000000000470e-01,6.651400000000000368e-02,5.000000000000000000e-01
1.617274799999999857e+01,5.491390000000000438e-01,6.651400000000000368e-02,5.000000000000000000e-01
1.677142100000000013e+01,5.890180000000000415e-01,6.651400000000000368e-02,5.000000000000000000e-01
1.737009400000000170e+01,6.288970000000000393e-01,6.651400000000000368e-02,5.000000000000000000e-01
1.796876800000000074e+01,6.687750000000000083e-01,6.651400000000000368e-02,5.000000000000000000e-01
1.856744099999999875e+01,7.086540000000000061e-01,6.651400000000000368e-02,5.000000000000000000e-01
1.917182700000000040e+01,7.243709999999999871e-01,-1.129800000000000075e-02,5.000000000000000000e-01
1.977178899999999828e+01,7.175930000000000364e-01,-1.129800000000000075e-02,5.000000000000000000e-01
